,provider,samples,hit_rate,cost
0,Amazon CloudFront,1000,0.0,4412.671337754955
1,Amazon CloudFront,1000,0.9,3837.312451401726
2,Amazon CloudFront,1000,1.0,3889.4506891263636
3,Amazon CloudFront,1000,0.0,3957.936259135753
4,Amazon CloudFront,1000,0.9,3807.494374804279
5,Amazon CloudFront,1000,1.0,4050.3749350165667
6,Amazon CloudFront,1000,0.0,4058.020700427197
7,Amazon CloudFront,1000,0.9,4140.759687573165
8,Amazon CloudFront,1000,1.0,3871.9648618655865
9,Amazon CloudFront,1000,0.0,4401.415446268969
10,Amazon CloudFront,1000,0.9,4079.1991476942076
11,Amazon CloudFront,1000,1.0,3988.349607963498
12,Amazon CloudFront,1000,0.0,4172.437891821532
13,Amazon CloudFront,1000,0.9,4173.317088160231
14,Amazon CloudFront,1000,1.0,4079.6917601523783
15,Amazon CloudFront,1000,0.0,4354.826703080338
16,Amazon CloudFront,1000,0.9,4253.553521521132
17,Amazon CloudFront,1000,1.0,4099.633912807138
18,Amazon CloudFront,1000,0.0,3845.632131431189
19,Amazon CloudFront,1000,0.9,4025.902119355482
20,Amazon CloudFront,1000,1.0,4058.5195171080873
21,Amazon CloudFront,1000,0.0,3516.247256772515
22,Amazon CloudFront,1000,0.9,4112.567735498033
23,Amazon CloudFront,1000,1.0,3897.941082903199
24,Amazon CloudFront,1000,0.0,4239.327628495153
25,Amazon CloudFront,1000,0.9,3995.8910467978044
26,Amazon CloudFront,1000,1.0,4174.584085608727
27,Amazon CloudFront,1000,0.0,4033.3724609629917
28,Amazon CloudFront,1000,0.9,3920.0016208491916
29,Amazon CloudFront,1000,1.0,4095.492841081049
30,Amazon CloudFront,10000,0.0,35454.99952327639
31,Amazon CloudFront,10000,0.9,34779.817616665445
32,Amazon CloudFront,10000,1.0,34247.49406430117
33,Amazon CloudFront,10000,0.0,34585.56045726319
34,Amazon CloudFront,10000,0.9,34196.03539393052
35,Amazon CloudFront,10000,1.0,33618.75137969193
36,Amazon CloudFront,10000,0.0,34393.66504390465
37,Amazon CloudFront,10000,0.9,34982.19627108265
38,Amazon CloudFront,10000,1.0,34947.81096250903
39,Amazon CloudFront,10000,0.0,35738.491767598985
40,Amazon CloudFront,10000,0.9,34383.31654395152
41,Amazon CloudFront,10000,1.0,35345.455667467904
42,Amazon CloudFront,10000,0.0,34215.470105431086
43,Amazon CloudFront,10000,0.9,35971.819134302525
44,Amazon CloudFront,10000,1.0,35505.75176729159
45,Amazon CloudFront,10000,0.0,35556.90069838787
46,Amazon CloudFront,10000,0.9,34824.71185633707
47,Amazon CloudFront,10000,1.0,35382.55564848277
48,Amazon CloudFront,10000,0.0,34934.47404879526
49,Amazon CloudFront,10000,0.9,34625.555437414805
50,Amazon CloudFront,10000,1.0,35353.71224206101
51,Amazon CloudFront,10000,0.0,34678.78518738041
52,Amazon CloudFront,10000,0.9,34416.12311442866
53,Amazon CloudFront,10000,1.0,34604.1813714633
54,Amazon CloudFront,10000,0.0,35821.695083475905
55,Amazon CloudFront,10000,0.9,33837.29081466931
56,Amazon CloudFront,10000,1.0,35231.603379932785
57,Amazon CloudFront,10000,0.0,34492.2501793276
58,Amazon CloudFront,10000,0.9,33949.57853200214
59,Amazon CloudFront,10000,1.0,35209.61844919089
60,Amazon CloudFront,100000,0.0,214337.09525759192
61,Amazon CloudFront,100000,0.9,212935.76288888988
62,Amazon CloudFront,100000,1.0,213416.5448998186
63,Amazon CloudFront,100000,0.0,213920.6034787309
64,Amazon CloudFront,100000,0.9,214571.47590794705
65,Amazon CloudFront,100000,1.0,215435.60319706495
66,Amazon CloudFront,100000,0.0,215077.10734376847
67,Amazon CloudFront,100000,0.9,213791.15300075867
68,Amazon CloudFront,100000,1.0,214942.41674629538
69,Amazon CloudFront,100000,0.0,214164.47838272672
70,Amazon CloudFront,100000,0.9,215632.79836168257
71,Amazon CloudFront,100000,1.0,214987.15017043072
72,Amazon CloudFront,100000,0.0,212831.74848071544
73,Amazon CloudFront,100000,0.9,213217.27650819352
74,Amazon CloudFront,100000,1.0,214431.2797658607
75,Amazon CloudFront,100000,0.0,214705.51619552274
76,Amazon CloudFront,100000,0.9,214728.61977757834
77,Amazon CloudFront,100000,1.0,214572.58006014524
78,Amazon CloudFront,100000,0.0,216359.63337382412
79,Amazon CloudFront,100000,0.9,213157.40046962292
80,Amazon CloudFront,100000,1.0,214835.03687088646
81,Amazon CloudFront,100000,0.0,214332.40254982526
82,Amazon CloudFront,100000,0.9,216459.64877875644
83,Amazon CloudFront,100000,1.0,214301.2338956174
84,Amazon CloudFront,100000,0.0,214524.22089948232
85,Amazon CloudFront,100000,0.9,213733.79063155176
86,Amazon CloudFront,100000,1.0,214632.15396344604
87,Amazon CloudFront,100000,0.0,215373.96454330685
88,Amazon CloudFront,100000,0.9,213053.84388196073
89,Amazon CloudFront,100000,1.0,214413.23984991986
90,Amazon CloudFront,1000000,0.0,1651920.0996467709
91,Amazon CloudFront,1000000,0.9,1661205.373831745
92,Amazon CloudFront,1000000,1.0,1662378.937226336
93,Amazon CloudFront,1000000,0.0,1656498.2126895643
94,Amazon CloudFront,1000000,0.9,1657950.1737736547
95,Amazon CloudFront,1000000,1.0,1662129.744921758
96,Amazon CloudFront,1000000,0.0,1661236.5764651229
97,Amazon CloudFront,1000000,0.9,1656676.3530134184
98,Amazon CloudFront,1000000,1.0,1662228.4883854943
99,Amazon CloudFront,1000000,0.0,1661898.9872278003
100,Amazon CloudFront,1000000,0.9,1665408.1439021893
101,Amazon CloudFront,1000000,1.0,1665819.1170829772
102,Amazon CloudFront,1000000,0.0,1660574.3805929567
103,Amazon CloudFront,1000000,0.9,1655820.5188669753
104,Amazon CloudFront,1000000,1.0,1659718.7707087314
105,Amazon CloudFront,1000000,0.0,1661169.2568511427
106,Amazon CloudFront,1000000,0.9,1660587.9364666385
107,Amazon CloudFront,1000000,1.0,1663964.6603888175
108,Amazon CloudFront,1000000,0.0,1657978.3215899426
109,Amazon CloudFront,1000000,0.9,1660421.840649346
110,Amazon CloudFront,1000000,1.0,1660921.4524709955
111,Amazon CloudFront,1000000,0.0,1662220.616153292
112,Amazon CloudFront,1000000,0.9,1663338.6538194073
113,Amazon CloudFront,1000000,1.0,1663521.1834979537
114,Amazon CloudFront,1000000,0.0,1664498.7526362818
115,Amazon CloudFront,1000000,0.9,1659521.3328609907
116,Amazon CloudFront,1000000,1.0,1656862.7466343315
117,Amazon CloudFront,1000000,0.0,1662493.2457500882
118,Amazon CloudFront,1000000,0.9,1667847.8097836927
119,Amazon CloudFront,1000000,1.0,1659483.462216463
120,Amazon CloudFront,10000000,0.0,16116488.846473979
121,Amazon CloudFront,10000000,0.9,16118172.554577112
122,Amazon CloudFront,10000000,1.0,16107769.734330943
123,Amazon CloudFront,10000000,0.0,16104420.00121098
124,Amazon CloudFront,10000000,0.9,16118598.862302689
125,Amazon CloudFront,10000000,1.0,16116733.957110658
126,Amazon CloudFront,10000000,0.0,16133467.31001733
127,Amazon CloudFront,10000000,0.9,16132572.628907748
128,Amazon CloudFront,10000000,1.0,16111233.397695359
129,Amazon CloudFront,10000000,0.0,16147703.605244504
130,Amazon CloudFront,10000000,0.9,16118653.989582645
131,Amazon CloudFront,10000000,1.0,16118158.889702126
132,Amazon CloudFront,10000000,0.0,16113492.686640525
133,Amazon CloudFront,10000000,0.9,16140372.27807254
134,Amazon CloudFront,10000000,1.0,16111381.457903259
135,Amazon CloudFront,10000000,0.0,16106057.94226554
136,Amazon CloudFront,10000000,0.9,16137812.73364839
137,Amazon CloudFront,10000000,1.0,16125809.375116795
138,Amazon CloudFront,10000000,0.0,16109354.754440684
139,Amazon CloudFront,10000000,0.9,16114409.332529483
140,Amazon CloudFront,10000000,1.0,16112732.101552308
141,Amazon CloudFront,10000000,0.0,16124489.185493128
142,Amazon CloudFront,10000000,0.9,16134336.689641548
143,Amazon CloudFront,10000000,1.0,16105646.277342452
144,Amazon CloudFront,10000000,0.0,16112003.74382989
145,Amazon CloudFront,10000000,0.9,16125997.71359535
146,Amazon CloudFront,10000000,1.0,16135256.352347225
147,Amazon CloudFront,10000000,0.0,16125989.340863982
